id,categories
0,10
1,10
2,9
3,12
4,12
5,9
6,5
7,1
8,7
9,2
10,8
11,5
12,10
13,9
14,13
15,9
16,9
17,6
18,4
19,8
20,5
21,13
22,13
23,11
24,7
25,4
26,9
27,12
28,0
29,10
30,6
31,12
32,2
33,12
34,5
35,3
36,2
37,9
38,4
39,11
40,4
41,7
42,10
43,9
44,3
45,0
46,14
47,11
48,6
49,11
50,4
51,5
52,5
53,11
54,7
55,12
56,13
57,0
58,13
59,3
60,3
61,14
62,4
63,11
64,2
65,11
66,5
67,13
68,0
69,2
70,6
71,9
72,13
73,7
74,9
75,3
76,2
77,3
78,1
79,2
80,4
81,14
82,7
83,7
84,7
85,4
86,5
87,10
88,2
89,8
90,7
91,6
92,10
93,1
94,9
95,12
96,11
97,5
98,13
99,1
100,6
101,5
102,14
103,8
104,11
105,5
106,14
107,1
108,9
109,7
110,8
111,14
112,0
113,3
114,7
115,7
116,13
117,8
118,4
119,6
120,11
121,10
122,14
123,4
124,3
125,2
126,6
127,2
128,2
129,14
130,9
131,6
132,10
133,13
134,5
135,5
136,6
137,11
138,5
139,0
140,8
141,3
142,4
143,1
144,13
145,4
146,4
147,10
148,3
149,12
150,0
151,6
152,9
153,8
154,14
155,6
156,6
157,13
158,7
159,6
160,8
161,9
162,5
163,5
164,10
165,12
166,0
167,2
168,14
169,6
170,7
171,9
172,11
173,4
174,13
175,7
176,11
177,0
178,5
179,4
180,5
181,7
182,2
183,3
184,13
185,11
186,8
187,8
188,6
189,14
190,13
191,4
192,8
193,9
194,11
195,5
196,10
197,4
198,10
199,9
200,4
201,4
202,8
203,5
204,2
205,9
206,10
207,8
208,14
209,9
210,10
211,13
212,7
213,6
214,4
215,6
216,2
217,10
218,8
219,10
220,7
221,3
222,13
223,6
224,14
225,4
226,1
227,6
228,4
229,3
230,9
231,0
232,11
233,14
234,13
235,2
236,3
237,13
238,6
239,12
240,3
241,2
242,9
243,1
244,0
245,8
246,5
247,12
248,8
249,1
250,10
251,14
252,8
253,7
254,7
255,14
256,8
257,13
258,1
259,3
260,10
261,11
262,11
263,14
264,8
265,0
266,2
267,12
268,0
269,11
270,1
271,9
272,12
273,7
274,10
275,0
276,6
277,0
278,7
279,5
280,0
281,1
282,13
283,2
284,3
285,1
286,11
287,1
288,12
289,8
290,8
291,6
292,3
293,1
294,11
295,9
296,9
297,10
298,9
299,13
300,4
301,9
302,8
303,10
304,5
305,6
306,11
307,6
308,5
309,2
310,9
311,10
312,2
